Sl_No,Full_Info,Transimission_Type,Ownership,Fuel_Used,brand_name,km_driven,selling_price,Year_of_Manuacture,Place_of_Origin,Age
3427,"""2018 Hyundai Creta""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Creta""",65694,845299,2018,"""Noida""",4
3428,"""2018 Hyundai Creta""","""Automatic""","""2nd Owner""","""Petrol""","""Hyundai-Creta""",28711,1230599,2018,"""Noida""",4
3429,"""2017 Mahindra XUV500""","""Manual""","""1st Owner""","""Diesel""","""Mahindra-XUV500""",195904,756399,2017,"""Noida""",5
3430,"""2018 Maruti Swift""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Swift""",21304,529199,2018,"""Noida""",4
3431,"""2020 Honda City""","""Automatic""","""1st Owner""","""Petrol""","""Honda-City""",9928,1477399,2020,"""Noida""",2
3432,"""2020 Honda City""","""Automatic""","""1st Owner""","""Petrol""","""Honda-City""",12934,1306399,2020,"""Noida""",2
3433,"""2016 Maruti Ciaz""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Ciaz""",31379,580999,2016,"""Noida""",6
3434,"""2017 Hyundai Grand i10""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Grand""",35853,486499,2017,"""Noida""",5
3435,"""2020 Hyundai Creta""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Creta""",21031,1200399,2020,"""Noida""",2
3436,"""2015 Hyundai Grand i10""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Grand""",54106,408499,2015,"""Noida""",7
3437,"""2018 Maruti Baleno""","""Manual""","""2nd Owner""","""Petrol""","""Maruti-Baleno""",10385,612499,2018,"""Noida""",4
3438,"""2014 Toyota Corolla Altis""","""Manual""","""1st Owner""","""Diesel""","""Toyota-Corolla""",105711,641699,2014,"""Noida""",8
3439,"""2017 Hyundai Grand i10""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Grand""",40743,451899,2017,"""Noida""",5
3440,"""2013 Hyundai Verna""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Verna""",33302,477499,2013,"""Noida""",9
3441,"""2012 Toyota Etios Liva""","""Manual""","""2nd Owner""","""Petrol""","""Toyota-Etios""",31729,337399,2012,"""Noida""",10
3442,"""2010 Hyundai i20""","""Manual""","""2nd Owner""","""Petrol""","""Hyundai-i20""",42422,270399,2010,"""Noida""",12
3443,"""2016 Ford Ecosport""","""Manual""","""1st Owner""","""Petrol""","""Ford-Ecosport""",16529,693999,2016,"""Noida""",6
3444,"""2013 Toyota Etios Liva""","""Manual""","""1st Owner""","""Petrol""","""Toyota-Etios""",36011,367999,2013,"""Noida""",9
3445,"""2015 Hyundai Creta""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Creta""",53468,862599,2015,"""Noida""",7
3446,"""2020 MG HECTOR PLUS""",,"""2nd Owner""","""Petrol""","""MG-HECTOR""",33726,1548199,2020,"""Noida""",2
3447,"""2016 Maruti Ciaz""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Ciaz""",39585,666599,2016,"""Noida""",6
3448,"""2019 Maruti Baleno""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Baleno""",25920,677399,2019,"""Noida""",3
3449,"""2017 Hyundai Grand i10""","""Automatic""","""1st Owner""","""Petrol""","""Hyundai-Grand""",23364,521299,2017,"""Noida""",5
3450,"""2017 Hyundai Elite i20""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Elite""",35255,610399,2017,"""Noida""",5
3451,"""2018 Maruti Baleno""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Baleno""",16076,614599,2018,"""Noida""",4
3452,"""2021 Maruti S PRESSO""","""Manual""","""1st Owner""","""Petrol + CNG""","""Maruti-S""",10875,540399,2021,"""Noida""",1
3453,"""2013 Mercedes Benz E Class""","""Automatic""","""2nd Owner""","""Diesel""","""Mercedes-Benz""",42881,1455599,2013,"""Noida""",9
3454,"""2017 Maruti Baleno""","""Automatic""","""1st Owner""","""Petrol""","""Maruti-Baleno""",53293,570099,2017,"""Noida""",5
3455,"""2017 Hyundai Grand i10""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Grand""",20068,451899,2017,"""Noida""",5
3456,"""2016 Hyundai Grand i10""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Grand""",87251,429999,2016,"""Noida""",6
3457,"""2014 Maruti Swift""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Swift""",18462,437999,2014,"""Noida""",8
3458,"""2019 Maruti Swift""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Swift""",32251,560399,2019,"""Noida""",3
3459,"""2016 Maruti Baleno""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Baleno""",52334,593199,2016,"""Noida""",6
3460,"""2017 Hyundai Elite i20""","""Manual""","""3rd Owner""","""Petrol""","""Hyundai-Elite""",30697,522799,2017,"""Noida""",5
3461,"""2018 Maruti Baleno""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Baleno""",19544,673399,2018,"""Noida""",4
3462,"""2015 Hyundai Grand i10""","""Automatic""","""1st Owner""","""Petrol""","""Hyundai-Grand""",44374,489199,2015,"""Noida""",7
3463,"""2015 Hyundai Elite i20""","""Manual""","""2nd Owner""","""Diesel""","""Hyundai-Elite""",66578,442799,2015,"""Noida""",7
3464,"""2015 Ford Ecosport""","""Manual""","""2nd Owner""","""Petrol""","""Ford-Ecosport""",51635,497099,2015,"""Noida""",7
3465,"""2020 Tata ALTROZ""","""Manual""","""1st Owner""","""Petrol""","""Tata-ALTROZ""",10325,822499,2020,"""Noida""",2
3466,"""2019 Ford Ecosport""","""Automatic""","""1st Owner""","""Petrol""","""Ford-Ecosport""",7978,969299,2019,"""Noida""",3
3467,"""2017 Maruti IGNIS""","""Manual""","""1st Owner""","""Petrol""","""Maruti-IGNIS""",29095,519499,2017,"""Noida""",5
3468,"""2019 Maruti Baleno""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Baleno""",22380,681699,2019,"""Noida""",3
3469,"""2017 Maruti Eeco""","""Manual""","""1st Owner""","""Petrol + CNG""","""Maruti-Eeco""",24111,374799,2017,"""Noida""",5
3470,"""2019 Maruti Baleno""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Baleno""",20135,667799,2019,"""Noida""",3
3471,"""2019 Renault Kwid""","""Manual""","""2nd Owner""","""Petrol""","""Renault-Kwid""",21902,345399,2019,"""Noida""",3
3472,"""2015 Maruti Baleno""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Baleno""",57510,493299,2015,"""Noida""",7
3473,"""2019 Maruti XL6""","""Manual""","""1st Owner""","""Petrol""","""Maruti-XL6""",23604,1093299,2019,"""Noida""",3
3474,"""2016 Maruti Baleno""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Baleno""",42263,566199,2016,"""Noida""",6
3475,"""2018 Ford Ecosport""","""Manual""","""1st Owner""","""Petrol""","""Ford-Ecosport""",51332,832699,2018,"""Noida""",4
3476,"""2014 Toyota Corolla Altis""","""Manual""","""1st Owner""","""Diesel""","""Toyota-Corolla""",63907,700699,2014,"""Noida""",8
3477,"""2017 Mahindra Scorpio""","""Manual""","""2nd Owner""","""Diesel""","""Mahindra-Scorpio""",45022,907899,2017,"""Noida""",5
3478,"""2014 Maruti Swift""","""Manual""","""2nd Owner""","""Petrol""","""Maruti-Swift""",31263,412499,2014,"""Noida""",8
3479,"""2015 Toyota Fortuner""","""Automatic""","""2nd Owner""","""Diesel""","""Toyota-Fortuner""",90086,1577799,2015,"""Noida""",7
3480,"""2017 Maruti Alto K10""","""Automatic""","""2nd Owner""","""Petrol""","""Maruti-Alto""",12159,374099,2017,"""Noida""",5
3481,"""2017 Hyundai Grand i10""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Grand""",49130,447599,2017,"""Noida""",5
3482,"""2017 Maruti Alto K10""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Alto""",27418,344699,2017,"""Noida""",5
3483,"""2016 Maruti Ciaz""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Ciaz""",98363,569299,2016,"""Noida""",6
3484,"""2017 Hyundai Creta""","""Automatic""","""1st Owner""","""Diesel""","""Hyundai-Creta""",58995,1083799,2017,"""Noida""",5
3485,"""2021 Maruti Alto""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Alto""",5116,429299,2021,"""Noida""",1
3486,"""2016 Hyundai Grand i10""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Grand""",45605,494099,2016,"""Noida""",6
3487,"""2020 Ford Ecosport""","""Automatic""","""1st Owner""","""Petrol""","""Ford-Ecosport""",4437,1095199,2020,"""Noida""",2
3488,"""2016 Ford Ecosport""","""Manual""","""1st Owner""","""Petrol""","""Ford-Ecosport""",16228,713999,2016,"""Noida""",6
3489,"""2013 Hyundai Verna""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Verna""",60651,435199,2013,"""Noida""",9
3490,"""2017 Hyundai Grand i10""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Grand""",22733,451899,2017,"""Noida""",5
3491,"""2018 Hyundai Creta""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Creta""",39473,1083799,2018,"""Noida""",4
3492,"""2014 Ford Ecosport""","""Manual""","""1st Owner""","""Petrol""","""Ford-Ecosport""",71903,478399,2014,"""Noida""",8
3493,"""2018 Ford Ecosport""","""Manual""","""1st Owner""","""Petrol""","""Ford-Ecosport""",28648,815999,2018,"""Noida""",4
3494,"""2021 Renault Kiger""",,"""1st Owner""","""Petrol""","""Renault-Kiger""",7661,961899,2021,"""Noida""",1
3495,"""2021 Tata Safari""","""Manual""","""1st Owner""","""Diesel""","""Tata-Safari""",12456,1874599,2021,"""Noida""",1
3496,"""2019 Maruti Baleno""","""Manual""","""2nd Owner""","""Petrol""","""Maruti-Baleno""",24693,558999,2019,"""Noida""",3
3497,"""2020 Honda City""","""Automatic""","""1st Owner""","""Petrol""","""Honda-City""",11365,1277299,2020,"""Noida""",2
3498,"""2013 Honda Amaze""","""Manual""","""1st Owner""","""Diesel""","""Honda-Amaze""",48118,307499,2013,"""Noida""",9
3499,"""2016 Maruti Baleno""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Baleno""",30809,546399,2016,"""Noida""",6
3500,"""2019 Hyundai VENUE""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-VENUE""",36417,892499,2019,"""Noida""",3
3501,"""2018 Maruti Alto 800""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Alto""",38522,323499,2018,"""Noida""",4
3502,"""2018 Ford Figo Aspire""","""Manual""","""1st Owner""","""Petrol""","""Ford-Figo""",41202,525699,2018,"""Noida""",4
3503,"""2020 Ford Ecosport""","""Automatic""","""1st Owner""","""Petrol""","""Ford-Ecosport""",11741,1138399,2020,"""Noida""",2
3504,"""2014 Maruti Swift""","""Manual""","""2nd Owner""","""Petrol""","""Maruti-Swift""",29335,414999,2014,"""Noida""",8
3505,"""2014 Ford Ecosport""","""Manual""","""1st Owner""","""Petrol""","""Ford-Ecosport""",78882,495899,2014,"""Noida""",8
3506,"""2018 Maruti Baleno""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Baleno""",20330,524799,2018,"""Noida""",4
3507,"""2016 Maruti Ciaz""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Ciaz""",27328,693199,2016,"""Noida""",6
